#Graph	Mean Degree	Degree STD	Mean CC   	CC STD    	Mean SPL  	SPL STD   
ER_1   	5.80800   	2.32102   	0.01204   	0.03326   	3.72138   	0.86252   
ER_2   	5.95200   	2.42192   	0.00778   	0.02530   	3.67019   	0.85511   
ER_3   	6.25600   	2.46951   	0.01230   	0.03178   	3.59672   	0.83346   
ER_4   	6.05600   	2.44313   	0.00925   	0.02706   	3.65208   	0.84854   
ER_5   	5.86800   	2.46548   	0.01276   	0.03631   	3.70704   	0.86697   
ER_6   	6.14000   	2.47071   	0.01332   	0.05497   	3.62025   	0.84925   
ER_7   	6.11200   	2.44856   	0.01333   	0.05569   	3.61720   	0.82838   
ER_8   	6.02000   	2.34512   	0.01147   	0.03649   	3.65303   	0.83595   
ER_9   	6.06800   	2.46645   	0.01261   	0.03682   	3.63930   	0.83675   
ER_10  	5.98800   	2.29257   	0.01114   	0.05209   	3.68632   	0.85414   
ER_11  	5.84800   	2.37674   	0.01105   	0.03284   	3.70656   	0.85315   
ER_12  	6.00400   	2.39916   	0.00845   	0.02398   	3.66151   	0.85072   
ER_13  	5.84400   	2.32544   	0.00846   	0.03017   	3.71090   	0.85292   
ER_14  	6.07200   	2.38638   	0.01191   	0.03175   	3.64946   	0.84140   
ER_15  	5.79200   	2.62464   	0.01159   	0.05117   	3.72523   	0.88553   
ER_16  	5.92800   	2.24651   	0.01123   	0.05196   	3.69622   	0.85881   
ER_17  	6.12800   	2.44041   	0.01244   	0.05394   	3.62358   	0.83325   
ER_18  	5.72800   	2.40541   	0.01531   	0.04385   	3.73115   	0.86515   
ER_19  	6.05200   	2.43830   	0.01163   	0.03288   	3.64230   	0.83516   
ER_20  	6.27600   	2.35368   	0.01083   	0.02921   	3.59001   	0.81777   
ER_21  	5.86000   	2.36989   	0.01233   	0.03220   	3.70111   	0.85786   
ER_22  	5.96000   	2.40799   	0.01089   	0.05694   	3.67105   	0.84967   
ER_23  	5.97200   	2.19254   	0.01117   	0.03228   	3.67625   	0.83526   
ER_24  	5.98800   	2.32204   	0.00856   	0.02658   	3.66970   	0.84350   
ER_25  	5.74000   	2.33589   	0.01111   	0.03584   	3.73316   	0.86822   
ER_26  	5.84400   	2.26532   	0.00787   	0.02726   	3.73535   	0.87074   
ER_27  	6.13200   	2.26331   	0.01433   	0.03700   	3.63891   	0.83239   
ER_28  	5.89200   	2.46259   	0.01040   	0.02659   	3.69616   	0.86644   
ER_29  	6.10800   	2.47474   	0.01176   	0.05131   	3.62950   	0.83802   
ER_30  	6.06000   	2.48685   	0.01286   	0.05580   	3.64014   	0.84609   
ER_31  	6.00400   	2.40832   	0.01656   	0.07242   	3.65249   	0.83997   
ER_32  	5.92000   	2.41942   	0.00914   	0.03390   	3.68829   	0.86123   
ER_33  	6.11200   	2.36209   	0.01697   	0.05742   	3.64425   	0.85223   
ER_34  	6.14400   	2.38899   	0.00993   	0.02483   	3.62560   	0.83245   
ER_35  	5.87200   	2.40824   	0.01108   	0.03417   	3.69710   	0.85638   
ER_36  	6.21200   	2.40729   	0.00916   	0.02432   	3.59588   	0.81836   
ER_37  	5.96000   	2.28876   	0.00969   	0.03160   	3.67629   	0.84927   
ER_38  	5.91600   	2.45783   	0.01060   	0.02801   	3.69702   	0.87235   
ER_39  	5.94400   	2.42587   	0.01253   	0.03415   	3.66872   	0.84592   
ER_40  	6.03200   	2.40728   	0.01336   	0.04003   	3.66213   	0.85077   
ER_41  	5.82400   	2.33859   	0.00940   	0.02768   	3.73638   	0.87528   
ER_42  	5.89200   	2.41585   	0.01090   	0.03393   	3.68971   	0.85355   
ER_43  	6.08000   	2.42520   	0.01452   	0.03534   	3.63727   	0.83347   
ER_44  	6.28400   	2.52890   	0.01310   	0.03427   	3.58994   	0.82886   
ER_45  	6.05200   	2.45383   	0.01237   	0.05349   	3.64993   	0.84540   
ER_46  	5.90800   	2.27586   	0.00993   	0.02948   	3.70100   	0.85367   
ER_47  	6.05600   	2.42422   	0.01380   	0.06865   	3.65288   	0.84972   
ER_48  	6.14800   	2.42942   	0.01074   	0.03106   	3.62702   	0.84158   
ER_49  	6.22400   	2.36682   	0.01208   	0.03439   	3.59743   	0.82425   
ER_50  	5.95200   	2.36341   	0.00937   	0.02750   	3.68445   	0.85454   
Vor_1  	5.70000   	1.36748   	0.44795   	0.13744   	10.02378  	4.54407   
Vor_2  	5.70400   	1.54415   	0.45727   	0.15074   	9.66292   	4.34413   
Vor_3  	5.70400   	1.44097   	0.45026   	0.13796   	9.68491   	4.26932   
Vor_4  	5.71200   	1.43703   	0.44865   	0.13335   	9.85879   	4.39402   
Vor_5  	5.70800   	1.37649   	0.44649   	0.12914   	9.68749   	4.25901   
Vor_6  	5.70400   	1.40442   	0.44629   	0.13545   	9.86480   	4.41430   
Vor_7  	5.70400   	1.33730   	0.44370   	0.12369   	9.84725   	4.36694   
Vor_8  	5.71600   	1.41681   	0.44753   	0.13243   	9.63487   	4.29818   
Vor_9  	5.70400   	1.40726   	0.44906   	0.13656   	9.76042   	4.33463   
Vor_10 	5.70800   	1.37504   	0.44800   	0.13538   	9.76291   	4.35245   
Vor_11 	5.70400   	1.39298   	0.44589   	0.12695   	9.71047   	4.29224   
Vor_12 	5.70400   	1.41010   	0.44837   	0.13473   	9.60813   	4.21553   
Vor_13 	5.72400   	1.40279   	0.44813   	0.13643   	9.69699   	4.31249   
Vor_14 	5.70800   	1.42504   	0.45240   	0.14319   	9.67152   	4.29802   
Vor_15 	5.70800   	1.45421   	0.45012   	0.13685   	9.62325   	4.25413   
Vor_16 	5.70000   	1.42197   	0.44864   	0.13310   	9.77510   	4.37031   
Vor_17 	5.70000   	1.44014   	0.44773   	0.13111   	9.54138   	4.23486   
Vor_18 	5.70800   	1.41235   	0.44934   	0.13859   	9.65972   	4.21599   
Vor_19 	5.70000   	1.41633   	0.44919   	0.13516   	9.77028   	4.34768   
Vor_20 	5.70000   	1.38924   	0.44869   	0.13611   	9.82707   	4.36461   
Vor_21 	5.72400   	1.46555   	0.45029   	0.13809   	9.59410   	4.23494   
Vor_22 	5.71200   	1.42304   	0.45130   	0.14185   	9.77379   	4.38898   
Vor_23 	5.70400   	1.45478   	0.44951   	0.13730   	9.66265   	4.31068   
Vor_24 	5.70400   	1.40442   	0.44853   	0.13500   	9.59257   	4.21893   
Vor_25 	5.70000   	1.39929   	0.44663   	0.13031   	9.80845   	4.40178   
Vor_26 	5.70400   	1.42842   	0.44735   	0.12990   	9.74852   	4.31752   
Vor_27 	5.70800   	1.45421   	0.44971   	0.13545   	9.30633   	4.01945   
Vor_28 	5.71200   	1.38024   	0.44473   	0.12934   	9.64863   	4.26691   
Vor_29 	5.70400   	1.48741   	0.44991   	0.13461   	9.76876   	4.36311   
Vor_30 	5.70400   	1.44512   	0.45371   	0.14312   	9.71535   	4.31596   
Vor_31 	5.71200   	1.43424   	0.45232   	0.14209   	9.94912   	4.48405   
Vor_32 	5.70800   	1.36335   	0.44686   	0.12998   	9.99044   	4.49781   
